Abbott, George Manlove|George Abbott
Bloom, Sol|Sol Bloom

Bloomfield, Richard Joseph|Joseph Bloomfield

Blount, James Henderson|James Henderson Blount

Blow, Henry Taylor|Henry Taylor Blow

Blücher, Franz|Franz Blücher

Bluhdorn, Charles G.|Charles

Boase, A. J.|A. K. Bose

Bodde, Peter William|William Peter

Boehm, Richard Wood|Richard Wood

Boettiger, John|John St. John

Bogdan, Corneliu|Cornelius Botha

Bohlen, Charles Eustis (“Chip”)|Charles

Boker, George Henry|Henry George Jr.

Bolté, Charles L.|Charles

Bolton, John R.|John Bolton

Bonbright, James Cowles Hart, Jr.|James Hart

Bondevik, Kjell|Kjell Magne Bondevik

Bonesteel, Charles H., III|Charles

Bongo, Omar|Omar Bongo

Bonker, Don L.|Don Bonker

Bonnet, Henri|Henry Bennett

Bonomi, Ivanoe|Ivanoe Bonomi

Boochever, Louis C., Jr.|Louis

Boris, Georges|George Bliss

Boris, Georges|George Bridges

Boris, Georges|George Briggs

Boris, Georges|George Burns

Boris, Georges|George Burns

Boris, Georges|George Morris

Boris, Georges|George Oros

Boris, Georges|George Souris

Borisov, Sergei A.|Sergey Abisov

Borland, Solon|Solon Borland

Bormann, Martin|Martin

Borno, Louis|Louis

Borno, Louis|Luis Bográn

Borten, Per|Per Borten

Botero-Boshell, Douglas|Alexander Douglas Douglas

Botero-Boshell, Douglas|James Douglas Stoddart Douglas

Boucher, Charles Hamilton|Charles

Boutros Ghali, Boutros|Boutros Ghali

Boutros Ghali Pasha, Wasef|Boutros Ghali

Bowdoin, James, III|James Bowdoin

Bowers, Charles R.|Charles

Bowie, Robert Richardson|Robert Richardson

Bowles, Chester Bliss|Chester Bowles

Boyd, James|James Boyd

Boyd, James|James H. Boyd

Boyd, John D. I.|John Boyd

Boyd, John G.|John Boyd

Boyd, Sempronius Hamilton|Hamilton Boyd

Boyer, Charles|Charles

Brademas, John|John St. John

Braden, Joan|John Bryden

Bradford, William G.|William Bradford

Bradford, William G.|William Bradford

Bradley, Omar N.|Omar Bradley

Bradley, William O’Connell|William Bradley

Bradley, William O’Connell|William O'connell

Brand, Vincent|Vincent

Brandt, Willy|William Brand

Brannan, Charles F.|Charles

Brassard, John Odillon Arthur|John Arthur

Brassard, John Odillon Arthur|John Brassard

Bratteli, Trygve|Trygve Bratteli

Bray, Charles William, III|Charles

Brayshaw, Charles H.|Charles

Brazauskas, Algirdas|Algirdas Brazauskas

Breen, John R.|John Breen

Brennan, Martin George|George Martin

Brennan, Martin George|Martin

Brent, Thomas Ludwell Lee|Thomas Lee

Brewster, Herbert Daniel|Daniel Brewster

Brewster, Owen|Owen Brewster

Brewster, Robert Charles|Charles

Briand, Aristide|Aristide Briand

Bridges, Styles|Styles Bridges

Brill, Hermann Louis|Louis

Britton, Theodore Roosevelt, Jr.|Theodore Roosevelt Jr.

Broad, Philip|Philippe Briand

Brodie, Edward Everett|Edward Everett

Brondel, Georges|George Bodey

Brondel, Georges|George Brodie

Brondel, Georges|George Brown

Brondel, Georges|George Randell

Bronz, George|Georges Tron

Brooke, Edgar D.|Edward Brooks

Brooks, Angie E.|Angie Brooks

Broustra, Vincent|Vincent

Browder, Earl|Earl Browder

Brower, Charles N.|Charles

Brown, Charles R.|Charles Brown

Brown, Charles R.|Charles Brown

Brown, Charles R.|Charles Brown

Brown, Charles R.|Charles Brown

Brown, Charles R.|Charles

Brown, Clarence J.|Laurence J. Burton

Brown, Garry E.|Harry Browne

Brown, George|George Brown

Brown, George|George Houston Brown

Brown, George|George Stayley Brown

Brown, George|Georges Tron

Brown, George|Walter George Brown

Brown, George S.|George Brown

Brown, George S.|Georges Tron

Brown, Gordon|Gordon Alexander Brown

Brown, Gordon|Gordon Brown

Brown, Gordon S.|Gordon Brown

Brown, Harrison|Charles Harrison Brown

Brown, James|James Brown

Brown, James|James Brown

Brown, James|James Brown Mason

Brown, James|James C. Brown

Brown, James|James Clark Brown

Brown, James|James Clifton Brown

Brown, James|James Elisha Brown

Brown, James|James M. Brown

Brown, James|James S. Brown

Brown, James|James Thomas Brown

Brown, James|James W. Brown

Brown, John R., III|John Brown

Brown, John R., III|John Brown

Brown, John R., III|John Brown

Brown, John R., III|John Brown

Brown, John R., III|John Brown

Brown, Keith Lapham|Keith Brown

Brown, Laurence G.|Clarence G. Burton

Brown, Philip Marshall|Philip Brown

Brown, Richard C.|Richard Brown

Brown, Richard R.|Richard Brown

Brown, Robert Lyle|Robert Brown

Brown, Samuel W., Jr.|Samuel Brown

Brown, William Andreas|William Brown

Brown, William Andreas|William Brown

Brown, William Andreas|William Brown

Brown, William Andreas|William Brown

Browne, Jeffrey T.|Geoffrey Brown

Browne, John Ross|John Browne

Brownell, Herbert, Jr.|Robert Browne

Bruce, Howard|Bruce Howard

Bruce, James|Jaime Barlucea

Bruno, George Charles|Charles

Bruton, John|John St. John

Bryan, Charles Page|Charles

Bryan, John Alexander|John Alexander

Bryan, John Alexander|John Alexander

Bryan, John Alexander|John Alexander

Bryn, Olaf|Olaf Bryn

Buchan, John|John Buchan

Buchan, John|John St. John

Buchanan, James|James Buchanan

Buchanan, James|James Buchanan

Buchanan, James|James Buchanan Richmond

Buchanan, James|James P. Buchanan

Buchanan, James M.|James Buchanan

Buchanan, James M.|James Buchanan

Buchanan, John Hall, Jr.|John Buchanan

Buchanan, John Hall, Jr.|John Buchanan

Buchanan, John Hall, Jr.|John Hall

Buchanan, John Hall, Jr.|John Hall

Buchanan, John Hall, Jr.|John Hall

Buchanan, John Hall, Jr.|John Hall Buchanan

Buchanan, Wiley Thomas, Jr.|Thomas Buchanan

Buck, Charles William|Charles

Buckalew, Charles Rollin|Charles

Buckle, John|John Buckle

Buckle, John|John St. John

Buckley, John L.|John Buckley

Buckmaster, Martin S.|Martin

Bundy, McGeorge|George Burd

Burch, Dean|Dan Branch

Burdett, William Carter|William Carter

Burdett, William Carter, Jr.|William Carter

Burgener, Clair Walter|Clair Burgener

Burghardt, Raymond F., Jr.|Raymond Raymond

Burke, John Richard|John Burke

Burke, John Richard|Richard Burke Jr.

Burlingame, Anson|Anson Burlingame

Burnham, Linden Forbes Sampson|Forbes Burnham

Burns, Alan|Allan Burdon

Burns, Robert L.|Robert Burns

Burns, Robert T.|Robert Burns

Burns, Robert W.|Robert Burns

Burns, William F.|William Burns

